当て嵌める	跡地	ありきたり	言い残す	言い放つ	怒り	一途	一任	逸材	一層
あてはめる	あとち	ありきたり	いいのこす	いいはなつ	いかり	いちず	いちにん	いつざい	いっそう
适用于	旧址	老一套的	把话不说完	断言	生气	专心	全权委托	卓越的人才	越发
1
イメージ	愈々	インスピレーション	薄まる	裏付け	エントリー	大口	大台	自ずと	重み
いめーじ	いよいよ	inspiration	うすまる	うらづけ	えんとりー	おおぐち	おおだい	おのずと	おもみ
印象 想象	越来越	灵感	变淡	证据	报名	大宗	大关	自然而然地	分量
2
改革	会心	回復	果敢	核心	加工	ガサガサ	頑な	からっと	…絡み
かいかく	かいしん	かいふく	かかん	かくしん	かこう	がさがさ	かたくな	からっと	…がらみ
改革	满意的	恢复	果敢	核心	加工	粗糙 沙沙作响	顽固	松脆	包括…在内
3
キープする	急遽	究明	仰天	供与	極力	巨匠	口出し	グラグラ	暗闇
きーぷする	きゅうきょ	きゅうめい	ぎょうてん	きょうよ	きょくりょく	きょしょう	くちだし	ぐらぐら	くらやみ
保持	仓皇	究明	非常吃惊	供给	极力	巨匠	插嘴 干预	摇晃	暗处
4
…ぐるみ	気配	堅実	広大	考慮	コーディネート	克明	拘る	こっそり	転がる
…ぐるみ	けはい	けんじつ	こうだい	こうりょ	coordinate	こくめい	こだわる	こっそり	ころがる
包括…在内	苗头	坚实	广大	考虑	搭配	细致	拘泥	偷偷地	滚转
5
根拠	細工	採取	逆らう	差し引く	察知	妨げる	…誌	仕組み	したたか
こんきょ	さいく	さいしゅ	さからう	さしひく	さっち	さまたげる	…し	しくみ	したたか
根据	工艺品 耍花招	采集	违背	扣除	察觉	妨碍	…的杂志	结构	难对付
6
頻りに	実況	実権	実在	実情	しっとり	シビア	ジメジメ	釈明	従属
しきりに	じっきょう	じっけん	じつざい	じつじょう	しっとり	severe	じめじめ	しゃくめい	じゅうぞく
频繁地	实况	实权	实际存在	实情	潮湿 恬静	严厉	湿漉漉 阴沉	申明	从属
7
修復	従来	趣旨	需要	瞬時	触発	処置	仕業	シンプル	…尽くめ
しゅうふく	じゅうらい	しゅし	じゅよう	しゅんじ	しょくはつ	しょち	しわざ	simple	…ずくめ
修复	过去	主旨	需求	瞬间	受刺激（去做）	处置	捣鬼	简单	尽是…
8
術	狭める	総じて	即刻	素振り	逸れる	それそれ	大家	高み	ためらう
すべ	せばめる	そうじて	そっこく	そぶり	それる	それそれ	たいか	たかみ	ためらう
手段	缩短	总而言之	即刻	神态	偏离	心慌	权威	高处	犹豫
9
探知	断念	チャージ	培う	集い	積み立てる	強み	的確	摘出	手間
たんち	だんねん	charge	つちかう	つどい	つみたてる	つよみ	てきかく	てきしゅつ	てま
探知	放弃	充电	培养	集会	积攒	长处	准确的	摘出	工夫
100
転換	踏襲	同伴	当面	遠ざける	とっくに	鈍る	にわか	念頭	ハードル
てんかん	とうしゅう	どうはん	とうめん	とおざける	とっくに	にぶる	にわか	ねんとう	hurdle
转换	沿袭	同伴	当前	使远离	早就	变钝	突然	念头	难关
11
バックアップ	抜粋	離れる	張り切る	煩雑	引き落とす	密	ひたむき	人込み	人出
backup	ばっすい	はなれる	はりきる	はんざつ	ひきおとす	ひそか	ひたむき	ひとごみ	ひとで
备份	集锦	离开	绷紧	烦杂	转账	暗中	一心一意	拥挤的人群	外出的人群
12
人通り	人波	拍子	翻す	ヒント	貧富	不穏	深み	縁	不当
ひとどおり	ひとなみ	ひょうし	ひるがえす	hint	ひんぷ	ふおん	ふかみ	ふち	ふとう
人的来往	人潮	拍子	翻转	暗示	贫富	不稳	深处	边缘	不当
13
ぶらぶら	ブランク	ブロック	並行	隔てる	解ける	施す	本心	まちまち	真っ先
ぶらぶら	blank	block	へいこう	へだてる	ほどける	ほどこす	ほんしん	まちまち	まっさき
无所事事	空白	街区	并行	隔开	解开	施与	本心	各不相同	最先
14
並列	惑わす	…まみれ	見失う	磨く	満たない	無残	無性に	無造作	無謀
へいれつ	まどわす	…まみれ	みうしなう	みがく	みたない	むざん	むしょうに	むぞうさ	むぼう
并列	迷惑	沾满…	丢失	磨炼	不满	残酷	无理由地非常	随意	无谋
15
メカニズム	めそめそ	猛…	網羅	目論む	モダン	催す	安らぐ	和らぐ	由緒
mechanism	めそめそ	もう…	もうら	もくろむ	modern	もよおす	やすらぐ	やわらぐ	ゆいしょ
机制	低声哭泣	猛…	网罗	策划	现代的	感觉要…	心情变平稳	缓和	渊源
16
融合	有数	ユニーク	ゆとり	落胆	利益	リストアップ	利子	利潤	利息
ゆうごう	ゆうすう	unique	ゆとり	らくたん	りえき	list up	りし	りじゅん	りそく
融合	屈指可数的	独特的	宽裕	沮丧	利益	列出	利息	利润	利息
17
リミット	歴然	和解	僅か	亜…	愛顧	愛嬌	愛想	間柄	相次ぐ
limit	れきぜん	わかい	わずか	あ…	あいこ	あいきょう	あいそ	あいだがら	あいつぐ
限制	明显	和解	一点点	亚……	关照	可爱	讨人喜欢	关系	相继发生
18
相槌	アイティー	アイドル	合間	敢えて	仰ぐ	青二才	仰向け	垢	証
あいづち	IT	idol	あいま	あえて	あおぐ	あおにさい	あおむけ	あか	あかし
帮腔	信息技术	偶像	空闲时间	敢于	请教	小毛孩	仰面朝天	垢	证据
19
明かす	暁	アカデミック	赤らむ	上がり	諦め	呆れる	悪…	悪質	アクセス
あかす	あかつき	academic	あからむ	あがり	あきらめ	あきれる	あく…	あくしつ	access
揭露	黎明时分	学术的	发红	告一段落 利益	死心	吃惊	恶性…	性质恶劣	网站登录
200
アクセル	あくどい	悪徳	悪人	顎	麻	痣	朝市	浅ましい	朝飯前
accelerator	あくどい	あくとく	あくにん	あご	あさ	あざ	あさいち	あさましい	あさめしまえ
汽车加速器	过于（如刺眼）	恶德	恶人	顎	麻	痣 淤青	早市	卑鄙的	极其容易的
21
欺く	鮮やか	あざ笑う	足がかり	悪しからず	足場	味わい	アスファルト	与る	焦る
あざむく	あざやか	あざわらう	あしがかり	あしからず	あしば	あじわい	asphalt	あずかる	あせる
蒙蔽	鲜艳	嘲笑	立足点	请不要见怪	基础 交通工具	味道	沥青	参与	焦急
22
褪せる	値	値する	恰も	あだな	当たり	扱い	…扱い	あっけない	あっさり
あせる	あたい	あたいする	あたかも	あだな	あたり	あつかい	…あつかい	あっけない	あっさり
褪色	价格	值得	宛如	外号	头绪	操作	给予如同...的待遇	没劲	清淡 爽快
23
斡旋	圧倒	圧倒的	アットホーム	圧迫	誂える	当て	宛てる	後始末	跡継ぎ
あっせん	あっとう	あっとうてき	at home	あっぱく	あつらえる	あて	あてる	あとしまつ	あとつぎ
斡旋	压倒	压倒性的	舒适	压迫	定做	指望	给予	善后	继承人
24
後回し	あながち	暴く	アフターケア	アフターサービス	危なげない	油絵	アプローチ	アピール	あべこべ
あとまわし	あながち	あばく	aftercare	after service	あぶなげない	あぶらえ	approach	appeal	あべこべ
推迟	不一定	揭发	病后调养	售后服务	有把握的	油画	靠近	呼吁	颠倒
25
アヘン	雨足	甘える	雨具	甘口	余る	操る	誤り	危ぶむ	あやふや
opium	あまあし	あまえる	あまぐ	あまくち	あまる	あやつる	あやまり	あやぶむ	あやふや
鸦片	雨势	撒娇	雨具	甜味的	剩余	操作	错误	担忧	含糊不清
26
過ち	誤る	歩み	歩む	予め	粗方	荒らす	…荒らす	荒っぽい	霰
あやまち	あやまる	あゆみ	あゆむ	あらかじめ	あらかた	あらす	…あらす	あらっぽい	あられ
错误	弄错	步行	步行	预先	大致上	糟蹋	胡乱做	粗野的	小冰雹
27
あり方	ありとあらゆる	ありのまま	ありふれた	アルカリ	アルコール	アルツハイマー病	アルファベット	アルミ	アレルギー
ありかた	ありとあらゆる	ありのまま	ありふれた	alkali	alcohol	alzheimerーびょう	alphabet	aluminium	allergy
现有状态	所有的	实事求是	常见的	强碱	酒精	阿尔茨海默病	入门	铝	过敏反应
28
アレンジ	合わす	併せて	餡	アンコール	暗殺	暗算	暗示	案ずる	安静
arrange	あわす	あわせて	あん	encore	あんさつ	あんざん	あんじ	あんずる	あんせい
布置	加在一起	共计	馅	再来一个	暗杀	暗算	暗示	担心	安静
29
案の定	安楽死	言いつける	言い張る	言い分	言いよどむ	言い渡す	家出	硫黄	生かす
あんのじょう	あんらくし	いいつける	いいはる	いいぶん	いいよどむ	いいわたす	いえで	いおう	いかす
果然	安乐死	命令	坚持主张	要说的话	吞吞吐吐	宣布	离家出走	硫磺	留着活命
300
如何なる	如何に	如何にも	遺憾	粋	異議	意気込み	意気込む	経緯	行き違い
いかなる	いかに	いかにも	いかん	いき	いぎ	いきごみ	いきごむ	いきさつ	いきちがい
什么样的	如何に	简直	遗憾	漂亮	异议	热情	振奋	原委	擦肩而过
31
行違う	行き詰まる	憤り	育成	異見	憩い	意向	移行	いざ	潔い
いきちがう	いきづまる	いきどおり	いくせい	いけん	いこい	いこう	いこう	いざ	いさぎよい
错过	束手无策	愤怒	育成	异议	休息	意向	转移	快	
32
些か	勇ましい	遺産	意地	移住	衣装	移植	弄る	イスラム教	遺跡
いささか	いさましい	いさん	いじ	いじゅう	いしょう	いしょく	いじる	Islamきょう	いせき
有些	勇猛	遗产	心术	移居	衣裳	移植	玩弄	伊斯兰教	遗迹
33
依然	いそいそ	潔い	依存	委託	頂き	至って	痛手	痛ましい	悼む
いぜん	いそいそ	いさぎよい	依存	いたく	いただき	いたって	いたで	いたましい	いたむ
依然	高兴地	干脆	依存	委託	顶端 承让	极其	重创	令人痛心	哀悼
34
炒める	労わる	市	著しい	一同	一面	一目	一目散に	一様	一律
いためる	いたわる	いち	いちじるしい	いちどう	いちめん	いちもく	いちもくさんに	いちよう	いちりつ
炒（食物）	安慰	时常	明显的	大家	整个的	一眼	一溜烟地	一样	一律
35
一連	一括	一挙に	一見	一心	一掃	一帯	一変	偽る	遺伝
いっれん	いっかつ	いっきょに	いっけん	いっしぃん	いっそう	いったい	いっぺん	いつわる	いでん
一连串的	概括起来	一举	看一次	一条心	一扫	一带	大变	撒谎	遗传
36
遺伝子	意図	異動	愛しい	営む	暇	挑む	稲光	否めない	イベント
いでんし	いと	いどう	いとしい	いとなむ	いとま	いどむ	いなびかり	いなめない	event
基因	动机	变动	可怜的	经营	闲暇	挑衅	闪电	无可否认	活动
37
今更	戒める	いましも	未だ	未だに	今に	今にして	今にも	今や	移民
いまさら	いましめる	いましも	いまだ	いまだに	いまに	いまにして	いまにも	いまや	いみん
事已至此	训诫	正是现在	尚未	至今仍然	即将 直到现在	如今	即将	马上	移民
38
いやいや	嫌がらせ	卑しい	癒す	いやに	嫌味	嫌らしい	イヤリング	イラスト	入り
いやいや	いやがらせ	いやしい	いやす	いやに	いやみ	いやらしい	earring	illustration	いり
不喜欢	讨人嫌	下贱的	医治	异常	令人不快的	讨厌的	耳环	插图	收入
39
入り江	衣料	威力	…入れ	異論	違和感	陰気	隠居	インターチェンジ	インターフォン
いりえ	いりょう	いりょく	…いれ	いろん	いわかん	いんき	いんきょ	interchange	interphone
海湾	衣料	威力	……的容器	异议	违和感	阴暗	退隐	立交桥	对讲机
40
インテリ	インフォメーション	インフレ	隠蔽	飲用	ウイークデー	ウエット	うきうき	請け合う	受け入れる
intelligentsiya	information	inflation	いんぺい	いんよう	weekday	wet	うきうき	うけあう	うけいれる
知识分子	信息	通货膨胀	掩盖	饮用	工作日	潮湿	高兴	承诺	接受
41
請け負う	受け継ぐ	受け止める	受け身	後ろ向き	後ろめたい	渦	埋める	疑わしい	転寝
うけおう	うけつぐ	うけとめり	うけみ	うしろむき	うしろめたい	うず	うずめる	うたがわしい	うたたね
承担责任	继承	接住	被动	背对着	内疚	旋涡	埋没	可疑的	打瞌睡
42
打ち明ける	打ち上げ	内気	打ち切る	打ち込む	打ち解ける	打ち破る	内訳	写し	鬱陶しい
うちあける	うちあげ	うちき	うちきる	うちこむ	うちとける	うちやぶる	うちわけ	うつし	うっとうしい
开诚布公	结束 放起	内向	停止	热心	亲密	打破	明细	副本	阴郁
43
鬱病	うつ伏せ	俯く	移り変わり	虚ろ	器	腕前	疎い	促す	自惚れ
うつびょう	うつぶせ	うつむく	うつりかわり	うつろ	うつわ	うでまえ	うとい	うながす	うぬぼれ
抑郁症	倒置	低头	推移	空洞	容器	本事	不太了解	催促	骄傲自大
44
